freq                    ,Gain                    ,Phase                   
57543.99373,-21.06477282,-95.09221092
58884.36554,-21.26758665,-94.97063765
60255.95861,-21.47030001,-94.85164312
61659.50019,-21.67291786,-94.7351728
63095.73445,-21.87544488,-94.62117337
64565.4229,-22.07788553,-94.50959276
66069.3448,-22.28024395,-94.4003802
67608.29754,-22.48841662,-94.27607648
69183.09709,-22.69091735,-94.17107342
70794.57844,-22.89336067,-94.06828751
72443.59601,-23.09575026,-93.96767342
74131.02413,-23.29808955,-93.86918738
75857.7575,-23.50038166,-93.77278715
77624.71166,-23.70262941,-93.67843215
79432.82347,-23.90483527,-93.58608355
81283.05162,-24.10700136,-93.49570434
83176.37711,-24.30912939,-93.4072595
85113.80382,-24.51122063,-93.3207161
87096.359,-24.71327586,-93.23604351
89125.09381,-24.91950978,-93.14331995
91201.08394,-25.12169978,-93.06209553
93325.43008,-25.32386237,-92.98266242
95499.2586,-25.52599613,-92.90500153
97723.7221,-25.72809876,-92.8290975
100000,-25.93016693,-92.75493918
102329.2992,-26.13219613,-92.6825202
104712.8548,-26.33418045,-92.61183967
107151.9305,-26.53611237,-92.54290302
109647.8196,-26.7379825,-92.47572297
112201.8454,-26.92710865,-92.43215808
114815.3621,-27.12820356,-92.36899922
117489.7555,-27.3291641,-92.30769748
120226.4435,-27.52996778,-92.24831025
123026.8771,-27.7305876,-92.19091214
125892.5412,-27.9309912,-92.13559865
128824.9552,-28.13113973,-92.08249086
131825.6739,-28.33098649,-92.03174138
134896.2883,-28.54070979,-91.96998162
138038.4265,-28.74026626,-91.92434555
141253.7545,-28.93933842,-91.88180532
144543.9771,-29.13782757,-91.84274435
147910.8388,-29.33561305,-91.80764882
151356.1248,-29.53254658,-91.77713892
154881.6619,-29.72844502,-91.75201165
158489.3192,-29.90229908,-91.75500394
162181.0097,-30.09438722,-91.74434772
165958.6907,-30.2845208,-91.74324043
169824.3652,-30.4722413,-91.75408246
173780.0829,-30.65696144,-91.78014001
177827.941,-30.85451384,-91.81181497
181970.0859,-31.03152009,-91.88358286
186208.7137,-31.20250458,-91.99058341
190546.0718,-31.36572481,-92.14622333
194984.46,-31.51883589,-92.37068869
199526.2315,-31.65866107,-92.69524244
204173.7945,-31.79559436,-93.15920956
208929.6131,-31.89515841,-93.8667371
213796.209,-31.96395513,-94.95022229
218776.1624,-31.99360341,-96.66839889
223872.1139,-31.95036079,-99.53175118
229086.7653,-31.90538912,-104.5179112
234422.8815,-31.93733554,-113.9158628
239883.2919,-32.59778473,-133.7602949
245470.8916,-38.3152958,-184.2904506
251188.6432,-57.0169426,-50.88969861
257039.5783,-34.70334824,-25.5152504
263026.7992,-33.0479411,-59.61422663
269153.4804,-33.28989974,-73.95791456
275422.8703,-33.81817285,-80.92027295
281838.2931,-34.33016058,-84.59013958
288403.1503,-34.78253316,-86.64111995
295120.9227,-35.20849856,-87.83674646
301995.172,-35.56440681,-88.57154801
309029.5433,-35.88901324,-89.03585873
316227.766,-36.21672169,-89.33260152
323593.6569,-36.50346968,-89.53441855
331131.1215,-36.77820809,-89.67237462
338844.1561,-36.99732498,-89.77427413
346736.8505,-37.25403487,-89.84355753
354813.3892,-37.50530767,-89.89621891
363078.0548,-37.7855459,-89.93913027
371535.2291,-38.02989777,-89.97972188
380189.3963,-38.21584237,-90.01914941
389045.145,-38.44903252,-90.06737513
398107.1706,-38.67649871,-90.13053093
407380.2778,-38.93724124,-90.22620276
416869.3835,-39.14756619,-90.36193871
426579.5188,-39.37797762,-90.58360915
436515.8322,-39.54432155,-90.94840062
446683.5922,-39.5986347,-91.59706921
457088.1896,-39.62845643,-92.93706839
467735.1413,-39.54987543,-96.05953134
478630.0923,-39.20863755,-104.7227087
489778.8194,-39.44333893,-137.1933487
501187.2336,-61.6706455,-295.1537849
512861.384,-39.68952628,-414.6213003
524807.4602,-40.45735059,-438.6084937
537031.7964,-41.37618269,-445.4157777
549540.8739,-42.01582462,-447.9106515
562341.3252,-42.42740895,-448.9752255
575439.9373,-42.84303676,-449.5554351
588843.6554,-43.27648322,-449.9541935
602559.5861,-43.68297548,-450.2584246
616595.0019,-44.01835135,-450.4915869
630957.3445,-44.23933603,-450.6457188
645654.229,-44.60429632,-450.9530887
660693.448,-44.88278317,-451.288081
676082.9754,-45.00594365,-451.691288
691830.9709,-45.21804396,-452.7138237
700000,-45.22129449,-453.6163301
